CtsUrn	VisualEvidence
urn:cts:greekLit:tlg5026.msAint.hmt:1.1503	urn:cite:hmt:vaimg.VA024RN-0025@0.09395726,0.30041494,0.08585114,0.05643154
urn:cts:greekLit:tlg5026.msAint.hmt:1.1456	urn:cite:hmt:vaimg.VA023VN-0525@0.85961680,0.57676349,0.04605748,0.03015214
urn:cts:greekLit:tlg5026.msAint.hmt:1.1455	urn:cite:hmt:vaimg.VA023VN-0525@0.85114223,0.29266943,0.03647752,0.03264177
urn:cts:greekLit:tlg5026.msAint.hmt:1.1408	urn:cite:hmt:vaimg.VA023RN-0024@0.11643331,0.55103734,0.05821665,0.03291840
urn:cts:greekLit:tlg5026.msAint.hmt:1.1407	urn:cite:hmt:vaimg.VA023RN-0024@0.10685335,0.49322268,0.07995578,0.04177040
urn:cts:greekLit:tlg5026.msAint.hmt:1.1406	urn:cite:hmt:vaimg.VA023RN-0024@0.10501105,0.36320885,0.06927045,0.01355463
urn:cts:greekLit:tlg5026.msAint.hmt:1.1405	urn:cite:hmt:vaimg.VA023RN-0024@0.12159175,0.28105118,0.06337509,0.02987552
urn:cts:greekLit:tlg5026.msAint.hmt:1.1349	urn:cite:hmt:vaimg.VA022VN-0524@0.86035372,0.50262794,0.04347826,0.05449516
urn:cts:greekLit:tlg5026.msAint.hmt:1.1294	urn:cite:hmt:vaimg.VA022RN-0023@0.10722181,0.34827109,0.06853353,0.03540802
urn:cts:greekLit:tlg5026.msAint.hmt:1.1240	urn:cite:hmt:vaimg.VA021VN-0523@0.85556374,0.63153527,0.05232130,0.03540802
urn:cts:greekLit:tlg5026.msAint.hmt:1.1239	urn:cite:hmt:vaimg.VA021VN-0523@0.84045689,0.45366528,0.05490052,0.05283541
urn:cts:greekLit:tlg5026.msAint.hmt:1.1190	urn:cite:hmt:vaimg.VA021RN-0022@0.11827561,0.55186722,0.06116433,0.05117566
urn:cts:greekLit:tlg5026.msAint.hmt:1.1137	urn:cite:hmt:vaimg.VA020VN-0522@0.85777450,0.54163209,0.05821665,0.01217151
urn:cts:greekLit:tlg5026.msAint.hmt:1.1136	urn:cite:hmt:vaimg.VA020VN-0522@0.84929993,0.30677732,0.04863670,0.04315353
urn:cts:greekLit:tlg5026.msAint.hmt:1.1078	urn:cite:hmt:vaimg.VA020RN-0021@0.11938099,0.63872752,0.04716286,0.03872752
urn:cts:greekLit:tlg5026.msAint.hmt:1.1077	urn:cite:hmt:vaimg.VA020RN-0021@0.12748710,0.57482711,0.05416360,0.03374827
urn:cts:greekLit:tlg5026.msAint.hmt:1.1076	urn:cite:hmt:vaimg.VA020RN-0021@0.10280029,0.19446750,0.06226971,0.04674965
urn:cts:greekLit:tlg5026.msAint.hmt:1.1003	urn:cite:hmt:vaimg.VA019RN-0020@0.09837878,0.42793914,0.05674282,0.03181189
urn:cts:greekLit:tlg5026.msAint.hmt:1.1002	urn:cite:hmt:vaimg.VA019RN-0020@0.10464259,0.28492393,0.05932203,0.03374827
urn:cts:greekLit:tlg5026.msAint.hmt:1.943	urn:cite:hmt:vaimg.VA018VN-0520@0.86403832,0.65034578,0.04568902,0.04481328
urn:cts:greekLit:tlg5026.msAint.hmt:1.942	urn:cite:hmt:vaimg.VA018VN-0520@0.83271923,0.49598893,0.06337509,0.01853389
urn:cts:greekLit:tlg5026.msAint.hmt:1.878	urn:cite:hmt:vaimg.VA018RN-0019@0.12122329,0.43402490,0.04421518,0.03900415
urn:cts:greekLit:tlg5026.msAint.hmt:1.877	urn:cite:hmt:vaimg.VA018RN-0019@0.10243183,0.20221300,0.06374355,0.04426003
urn:cts:greekLit:tlg5026.msAint.hmt:1.810	urn:cite:hmt:vaimg.VA017VN-0519@0.83161385,0.64757953,0.04421518,0.03153527
urn:cts:greekLit:tlg5026.msAint.hmt:1.809	urn:cite:hmt:vaimg.VA017VN-0519@0.83824613,0.61659751,0.04605748,0.03208852
urn:cts:greekLit:tlg5026.msAint.hmt:1.808	urn:cite:hmt:vaimg.VA017VN-0519@0.82313928,0.52475795,0.05563744,0.03817427
urn:cts:greekLit:tlg5026.msAint.hmt:1.742	urn:cite:hmt:vaimg.VA017RN-0018@0.12453943,0.66224066,0.04974208,0.02323651
urn:cts:greekLit:tlg5026.msAint.hmt:1.741	urn:cite:hmt:vaimg.VA017RN-0018@0.12232867,0.60525588,0.05969049,0.03153527
urn:cts:greekLit:tlg5026.msAint.hmt:1.740	urn:cite:hmt:vaimg.VA017RN-0018@0.12343405,0.52558783,0.05490052,0.04840941
urn:cts:greekLit:tlg5026.msAint.hmt:1.739	urn:cite:hmt:vaimg.VA017RN-0018@0.14812085,0.50539419,0.02284451,0.01742739
urn:cts:greekLit:tlg5026.msAint.hmt:1.673	urn:cite:hmt:vaimg.VA016VN-0518@0.82092852,0.49709544,0.05600590,0.02627939
urn:cts:greekLit:tlg5026.msAint.hmt:1.672	urn:cite:hmt:vaimg.VA016VN-0518@0.78187178,0.25504841,0.05305822,0.01438451
urn:cts:greekLit:tlg5026.msAint.hmt:1.619	urn:cite:hmt:vaimg.VA016RN-0017@0.10611643,0.65892116,0.06816507,0.07551867
urn:cts:greekLit:tlg5026.msAint.hmt:1.618	urn:cite:hmt:vaimg.VA016RN-0017@0.13448784,0.40525588,0.03979366,0.02019364
urn:cts:greekLit:tlg5026.msAint.hmt:1.617	urn:cite:hmt:vaimg.VA016RN-0017@0.13043478,0.24840941,0.04716286,0.03153527
urn:cts:greekLit:tlg5026.msAint.hmt:1.616	urn:cite:hmt:vaimg.VA016RN-0017@0.14738394,0.19695712,0.03647752,0.00912863
urn:cts:greekLit:tlg5026.msAint.hmt:1.572	urn:cite:hmt:vaimg.VA015VN-0517@0.79918939,0.62019364,0.06263817,0.02932227
urn:cts:greekLit:tlg5026.msAint.hmt:1.571	urn:cite:hmt:vaimg.VA015VN-0517@0.81245394,0.55352697,0.05121592,0.01881051
urn:cts:greekLit:tlg5026.msAint.hmt:1.570	urn:cite:hmt:vaimg.VA015VN-0517@0.78960943,0.51396957,0.06595431,0.01964039
urn:cts:greekLit:tlg5026.msAint.hmt:1.569	urn:cite:hmt:vaimg.VA015VN-0517@0.81466470,0.38672199,0.04053058,0.02738589
urn:cts:greekLit:tlg5026.msAint.hmt:1.568	urn:cite:hmt:vaimg.VA015VN-0517@0.78555637,0.21576763,0.05379514,0.03485477
urn:cts:greekLit:tlg5026.msAint.hmt:1.506	urn:cite:hmt:vaimg.VA015RN-0016@0.12785556,0.68326418,0.20928519,0.02849239
urn:cts:greekLit:tlg5026.msAint.hmt:1.505	urn:cite:hmt:vaimg.VA015RN-0016@0.13264554,0.60525588,0.05195284,0.06915629
urn:cts:greekLit:tlg5026.msAint.hmt:1.504	urn:cite:hmt:vaimg.VA015RN-0016@0.14701548,0.57040111,0.02652911,0.01438451
urn:cts:greekLit:tlg5026.msAint.hmt:1.503	urn:cite:hmt:vaimg.VA015RN-0016@0.13706706,0.43762102,0.04863670,0.04536653
urn:cts:greekLit:tlg5026.msAint.hmt:1.502	urn:cite:hmt:vaimg.VA015RN-0016@0.13264554,0.33858921,0.05047900,0.04619640
urn:cts:greekLit:tlg5026.msAint.hmt:1.432	urn:cite:hmt:vaimg.VA014VN-0516@0.82571850,0.52890733,0.05121592,0.03098202
urn:cts:greekLit:tlg5026.msAint.hmt:1.431	urn:cite:hmt:vaimg.VA014VN-0516@0.82056006,0.35656985,0.04863670,0.06168741
urn:cts:greekLit:tlg5026.msAint.hmt:1.142	urn:cite:hmt:vaimg.VA014RN-0015@0.11532793,0.52116183,0.06005895,0.02959889
urn:cts:greekLit:tlg5026.msAint.hmt:1.141	urn:cite:hmt:vaimg.VA014RN-0015@0.12601326,0.26085754,0.05747973,0.03347165
urn:cts:greekLit:tlg5026.msAint.hmt:1.115	urn:cite:hmt:vaimg.VA013VN-0515@0.83087693,0.61991701,0.05379514,0.02295989
urn:cts:greekLit:tlg5026.msAint.hmt:1.114	urn:cite:hmt:vaimg.VA013VN-0515@0.81798084,0.55850622,0.06558585,0.05449516
urn:cts:greekLit:tlg5026.msAint.hmt:1.113	urn:cite:hmt:vaimg.VA013VN-0515@0.82608696,0.50650069,0.05526898,0.04204703
urn:cts:greekLit:tlg5026.msAint.hmt:1.92	urn:cite:hmt:vaimg.VA013RN-0014@0.11864407,0.65504841,0.04310980,0.02738589
urn:cts:greekLit:tlg5026.msAint.hmt:1.91	urn:cite:hmt:vaimg.VA013RN-0014@0.10795873,0.50069156,0.06595431,0.03872752
urn:cts:greekLit:tlg5026.msAint.hmt:1.90	urn:cite:hmt:vaimg.VA013RN-0014@0.11016949,0.40608575,0.06374355,0.04343015
urn:cts:greekLit:tlg5026.msAint.hmt:1.89	urn:cite:hmt:vaimg.VA013RN-0014@0.11827561,0.38672199,0.05011054,0.01134163
urn:cts:greekLit:tlg5026.msAint.hmt:1.88	urn:cite:hmt:vaimg.VA013RN-0014@0.11790715,0.30733057,0.06558585,0.07966805
urn:cts:greekLit:tlg5026.msAint.hmt:1.60	urn:cite:hmt:vaimg.VA012VN-0514@0.83640383,0.66804979,0.08511422,0.17565698
urn:cts:greekLit:tlg5026.msAint.hmt:1.59	urn:cite:hmt:vaimg.VA012VN-0514@0.81282240,0.65311203,0.03979366,0.01936376
urn:cts:greekLit:tlg5026.msAint.hmt:1.58	urn:cite:hmt:vaimg.VA012VN-0514@0.84340457,0.56265560,0.05084746,0.02461964
urn:cts:greekLit:tlg5026.msAint.hmt:1.57	urn:cite:hmt:vaimg.VA012VN-0514@0.85114223,0.49958506,0.04495210,0.03540802
urn:cts:greekLit:tlg5026.msAint.hmt:1.56	urn:cite:hmt:vaimg.VA012VN-0514@0.83714075,0.46804979,0.05121592,0.01964039
urn:cts:greekLit:tlg5026.msAint.hmt:1.55	urn:cite:hmt:vaimg.VA012VN-0514@0.82608696,0.27607192,0.06005895,0.05034578
urn:cts:greekLit:tlg5026.msAint.hmt:1.32	urn:cite:hmt:vaimg.VA012RN-0013@0.08591065,0.65625000,0.07636502,0.22677752
urn:cts:greekLit:tlg5026.msAint.hmt:1.31	urn:cite:hmt:vaimg.VA012RN-0013@0.10385643,0.53669725,0.04734632,0.03038991
urn:cts:greekLit:tlg5026.msAint.hmt:1.30	urn:cite:hmt:vaimg.VA012RN-0013@0.10729286,0.51433486,0.04543719,0.02293578
urn:cts:greekLit:tlg5026.msAint.hmt:1.29	urn:cite:hmt:vaimg.VA012RN-0013@0.11034746,0.49283257,0.04696449,0.02236239
urn:cts:greekLit:tlg5026.msAint.hmt:1.28	urn:cite:hmt:vaimg.VA012RN-0013@0.11836579,0.44753440,0.03703704,0.03411697
urn:cts:greekLit:tlg5026.msAint.hmt:1.27	urn:cite:hmt:vaimg.VA012RN-0013@0.11760214,0.36811927,0.03741886,0.02006881
urn:cts:greekLit:tlg5026.msAint.hmt:7.415	urn:cite:hmt:vaimg.VA093RN-0265@0.1074,0.5461,0.0678,0.0281
urn:cts:greekLit:tlg5026.msAint.hmt:7.414	urn:cite:hmt:vaimg.VA093RN-0265@0.108,0.5109,0.0718,0.038
urn:cts:greekLit:tlg5026.msAint.hmt:7.413	urn:cite:hmt:vaimg.VA093RN-0265@0.1154,0.4477,0.0647,0.0432
urn:cts:greekLit:tlg5026.msAint.hmt:7.412	urn:cite:hmt:vaimg.VA093RN-0265@0.1109,0.4058,0.073,0.0331
urn:cts:greekLit:tlg5026.msAint.hmt:7.411	urn:cite:hmt:vaimg.VA093RN-0265@0.1126,0.3733,0.0707,0.0374
urn:cts:greekLit:tlg5026.msAint.hmt:7.316	urn:cite:hmt:vaimg.VA092VN-0595@0.853,0.4711,0.047,0.0368
urn:cts:greekLit:tlg5026.msAint.hmt:7.315	urn:cite:hmt:vaimg.VA092VN-0595@0.832,0.3479,0.056,0.0361
urn:cts:greekLit:tlg5026.msAint.hmt:7.2050	urn:cite:hmt:vaimg.VA098RN-0270@0.1108,0.3544,0.0592,0.0357
urn:cts:greekLit:tlg5026.msAint.hmt:7.2039	urn:cite:hmt:vaimg.VA097VN-0600@0.835,0.6111,0.0583,0.02
urn:cts:greekLit:tlg5026.msAint.hmt:7.2038	urn:cite:hmt:vaimg.VA097VN-0600@0.8742,0.345,0.0342,0.0332
urn:cts:greekLit:tlg5026.msAint.hmt:7.2027	urn:cite:hmt:vaimg.VA097RN-0269@0.1092,0.5517,0.0467,0.015
urn:cts:greekLit:tlg5026.msAint.hmt:7.2026	urn:cite:hmt:vaimg.VA097RN-0269@0.1083,0.4546,0.0433,0.0188
urn:cts:greekLit:tlg5026.msAint.hmt:7.213	urn:cite:hmt:vaimg.VA092RN-0264@0.0842,0.6575,0.075,0.0438
urn:cts:greekLit:tlg5026.msAint.hmt:7.212	urn:cite:hmt:vaimg.VA092RN-0264@0.0892,0.5748,0.0767,0.0463
urn:cts:greekLit:tlg5026.msAint.hmt:7.211	urn:cite:hmt:vaimg.VA092RN-0264@0.0967,0.4684,0.0767,0.0557
urn:cts:greekLit:tlg5026.msAint.hmt:7.20	urn:cite:hmt:vaimg.VA091RN-0263@0.0982,0.5829,0.0797,0.0271
urn:cts:greekLit:tlg5026.msAint.hmt:7.19	urn:cite:hmt:vaimg.VA091RN-0263@0.1044,0.5055,0.0684,0.0249
urn:cts:greekLit:tlg5026.msAint.hmt:7.18	urn:cite:hmt:vaimg.VA091RN-0263@0.1,0.4292,0.0735,0.0268
urn:cts:greekLit:tlg5026.msAint.hmt:7.17	urn:cite:hmt:vaimg.VA091RN-0263@0.0969,0.3725,0.0778,0.0435
urn:cts:greekLit:tlg5026.msAint.hmt:7.16	urn:cite:hmt:vaimg.VA091RN-0263@0.1109,0.337,0.064,0.0372
urn:cts:greekLit:tlg5026.msAint.hmt:7.15	urn:cite:hmt:vaimg.VA091RN-0263@0.1059,0.3143,0.0688,0.0259
urn:cts:greekLit:tlg5026.msAint.hmt:7.14	urn:cite:hmt:vaimg.VA091RN-0263@0.1038,0.2889,0.0747,0.0299
urn:cts:greekLit:tlg5026.msAint.hmt:7.3049	urn:cite:hmt:vaimg.VA099VN-0602@0.855,0.65,0.0525,0.0269
urn:cts:greekLit:tlg5026.msAint.hmt:7.3017	urn:cite:hmt:vaimg.VA099RN-0271@0.098,0.6431,0.083,0.0383
urn:cts:greekLit:tlg5026.msAint.hmt:7.3016	urn:cite:hmt:vaimg.VA099RN-0271@0.108,0.6206,0.069,0.0248
urn:cts:greekLit:tlg5026.msAint.hmt:7.3015	urn:cite:hmt:vaimg.VA099RN-0271@0.101,0.583,0.072,0.0458
urn:cts:greekLit:tlg5026.msAint.hmt:7.3014	urn:cite:hmt:vaimg.VA099RN-0271@0.104,0.4448,0.074,0.0721
urn:cts:greekLit:tlg5026.msAint.hmt:7.3013	urn:cite:hmt:vaimg.VA099RN-0271@0.098,0.3599,0.077,0.0308
urn:cts:greekLit:tlg5026.msAint.hmt:7.3012	urn:cite:hmt:vaimg.VA099RN-0271@0.104,0.2735,0.075,0.0646
urn:cts:greekLit:tlg5026.msAint.hmt:7.3008	urn:cite:hmt:vaimg.VA100RN-0272@0.103,0.5845,0.065,0.0533
urn:cts:greekLit:tlg5026.msAint.hmt:7.3007	urn:cite:hmt:vaimg.VA100RN-0272@0.103,0.3974,0.07,0.0293
urn:cts:greekLit:tlg5026.msAint.hmt:7.3005	urn:cite:hmt:vaimg.VA098VN-0601@0.8558,0.6249,0.0408,0.0326
urn:cts:greekLit:tlg5026.msAint.hmt:7.3004	urn:cite:hmt:vaimg.VA098VN-0601@0.8517,0.4415,0.0483,0.0407
urn:cts:greekLit:tlg5026.msAint.hmt:6.205	urn:cite:hmt:vaimg.VA090VN-0593@0.83714075,0.31950207,0.04882093,0.02074689
urn:cts:greekLit:tlg5026.msAint.hmt:6.204	urn:cite:hmt:vaimg.VA090RN-0262@0.10961680,0.60899032,0.04771555,0.03692946
urn:cts:greekLit:tlg5026.msAint.hmt:6.203	urn:cite:hmt:vaimg.VA090RN-0262@0.09948416,0.47551867,0.04863670,0.02351314
urn:cts:greekLit:tlg5026.msAint.hmt:6.202	urn:cite:hmt:vaimg.VA089RN-0261@0.11016949,0.38948824,0.05747973,0.02130014
urn:cts:greekLit:tlg5026.msAint.hmt:6.201	urn:cite:hmt:vaimg.VA089RN-0261@0.11219602,0.29557400,0.04697863,0.03762102
